Product_Name,Price,Monthly_Purchases,Ratings,Brand
"Heinz Light Mayonnaise, 310 gm",59.5,900,4.6,Heinz Light
Al-Khair Sofra Salt 700gm,10.25,1000,4.3,Al-Khair Sofra
Imtenan Organic coconut oil appreciation 250ml,295.0,1000,4.6,Imtenan Organic
Nour soft sea salt - 700 gm,12.0,800,4.5,Nour soft
Alfredo Pasta,21.0,1000,3.7,Alfredo Pasta
"Lipton Green Tea Pure, 25 teabags",28.0,1000,4.4,Lipton Green
Giardino vinegar - 1 liter,14.95,2000,4.5,Giardino vinegar
Maggi Bechamel Mix Cheese 70g,12.45,1000,4.5,Maggi Bechamel
Schweppes Tangerine Soda Drink 950 ml,24.95,500,4.5,Schweppes Tangerine
Heinz hot sauce bottle - 165 gm,38.15,900,4.6,Heinz hot
Larch Melt cake Cocoa with Chocolate Sauce (24pcs),240.0,700,4.6,Larch Melt
Advanced Sports Nutrition | Bob's Bake Sugar Free Jelly | Keto Friendly | 72 Calories | 18 gm Protein | 0 gm Carbs | 0 gm Fat | Strawberry Flavor | Makes 523 gm Delicious Jelly,44.95,1000,4.0,Advanced Sports
V7 vitamin sparkling drink 100% natural flavors - pomegranate 300ml,13.25,800,4.4,V7 vitamin
"Mazaq Karak Non Sugar Tea 12 g, 12 Sachets",105.28,800,4.3,Mazaq Karak
Vitrac mix strawberry and raspberry jam - 430 g,47.0,800,4.2,Vitrac mix
Oreo vanilla crème filled biscuit - 5 Cookies(43.75 g) pack of 12,120.0,800,4.4,Oreo vanilla
"Almarai Plain Full Fat Milk, PET Bottle 1 Liter",44.95,800,4.5,Almarai Plain
Dobella Liquid Vanilla for Food - 30 ml,19.95,1000,4.3,Dobella Liquid
"Indomie instant fried noodles, 80 gm",9.25,800,4.2,Indomie instant
Nestlé Sweetened Condensed Milk 370g,85.5,900,4.5,Nestlé Sweetened
"Tang Orange With Vitamin C- Set of 12, 25 gm",103.25,500,4.5,Tang Orange
Abu Al Waleed Basmati Golden Rice,109.99,900,4.6,Abu Al
Knorr Minced Meat Mix 70G,17.45,700,4.4,Knorr Minced
Eco Healthy - Organic Barley Flour - 1 kg,50.0,900,4.3,Eco Healthy
Spritz Butter non-stick Cooking Spray - 200 ml,180.0,900,4.6,Spritz Butter
Nestlé Coffee Mate Coffee Creamer 400g,149.0,800,4.5,Nestlé Coffee
Knorr Beef Stock 12 Cubes,17.0,900,4.5,Knorr Beef
Naturesta Ketchup 79g – Classic Tomato Flavor in a Mini Size – Diet and Keto-Friendly,40.0,600,3.8,Naturesta Ketchup
Al Doha fusilli pasta pouch - 400 gm,20.95,700,4.4,Al Doha
Knorr Béchamel Mix,14.0,800,4.3,Knorr Béchamel
Imtenan Parsley & celery tea 50filters,99.0,800,4.5,Imtenan Parsley
Abu Auf Instant Coffee Gold - 45 gm,88.95,600,4.3,Abu Auf
Vitrac strawberry jam - 430 gm,47.0,800,4.4,Vitrac strawberry
"Imtenan Himalayan Soft Salt, 650g",66.5,800,4.6,Imtenan Himalayan
Almarai plain milk 1.5L Full Fat PET,76.0,900,4.6,Almarai plain
"Dobella Oats Flakes, 600 gm",86.64,600,4.5,Dobella Oats
"Munch A Bunch Coffee Flavored Biscuits, 42g",9.45,800,4.0,Munch A
"Abu Auf Chia Seeds, 400 gm",145.0,800,4.5,Abu Auf
Trident Menthol Chewing Gum Bottle - 60 Pcs,110.0,1000,4.4,Trident Menthol
Knorr Vegetable Stock 8 Cubes,12.4,900,4.6,Knorr Vegetable
Rawaby ghee 1.5 kg,149.2,700,4.5,Rawaby ghee
Maggi Shawerma Mix 30g,12.35,800,4.6,Maggi Shawerma
Coca Cola Zero 950 ml,22.45,500,4.4,Coca Cola
Oreo Chocolate crème filled biscuit - 5 Cookies(43.75 g) pack of 12,119.4,700,4.5,Oreo Chocolate
"Extra mint Gum, 84 gm - 60 piece",89.2,700,4.5,Extra mint
Aldoha Freek,52.0,700,4.6,Aldoha Freek
Imtenan Diet support tea 18 bags,48.01,800,4.3,Imtenan Diet
Nescafe Nescafé Mixes 2 in 1 Original Mix Instant Coffee - 24 Sticks 10 g,136.8,700,4.3,Nescafe Nescafé
Nesquik Chocolate Powder 270g,87.95,600,4.4,Nesquik Chocolate
"Juhayna full cream milk, 200 ml",11.45,600,4.5,Juhayna full
"Lamar Pineapple Drink, 200 ml",6.95,600,4.2,Lamar Pineapple
iSiS Natural parsely and celery Herbal Tea – 20 Envelopes,35.07,700,4.4,iSiS Natural
"Giardino tomato paste, 360 gm",25.95,600,4.4,Giardino tomato
Heinz Burger Sauce Doypack 285g,54.0,700,4.5,Heinz Burger
Mcvitie'S Dark Chocolate Digestive Biscuits - 28 gm - 12 Pieces,120.0,900,4.4,Mcvitie'S Dark
Royal Hills Mushrooms 400 g,34.38,700,3.7,Royal Hills
"Dobella white rice flour, 1 k",47.78,700,4.2,Dobella white
Italiano Ziti Pasta - 400 gm,21.95,700,4.6,Italiano Ziti
Lambada Wafer Biscuits Filled Chocolate Cream - Double Extra Wafers set of 12,29.4,600,3.4,Lambada Wafer
Abu Auf Protein snacks smoked BBQ 60 Gram,15.45,200,4.0,Abu Auf
El Arosa Tea Bags - 100 Bags,86.95,700,4.4,El Arosa
Schweppes Pomegranate Soda Drink 950 ml,24.95,400,4.4,Schweppes Pomegranate
Organic Nation | Pumpkin Seeds | 100% Natural | Source of Plant Protein | Omega 3 | Helps Decrease Prostate Enlargement | Fire up your Metabolism | 200g,143.0,1000,4.4,Organic Nation
Alkamar Tuna Chunks Cold 140g,60.0,500,4.2,Alkamar Tuna
Royal anise herbs - 100 bags,94.0,600,4.6,Royal anise
Larch Caramel With Chocolate 500 Gm,185.0,600,3.3,Larch Caramel
"Lavazza Qualità Rossa, Full-bodied and Balanced Espresso, 10 Capsules, Nespresso Compatible Package design may vary",222.0,700,4.2,Lavazza Qualità
Giardino ketchup pet 310gm,26.95,600,4.5,Giardino ketchup
"Crystal Corn Oil, 1.6 Liter",179.95,600,4.6,Crystal Corn
Rehana white sugar - 1 kg,42.0,600,4.6,Rehana white
Al Doha Spaghetti Pasta - 400 gm,25.95,800,4.4,Al Doha
Lavazza Nespresso crema e gusto,220.0,700,4.3,Lavazza Nespresso
Hero Delicia Peanut Butter - 300 gm,102.95,600,4.3,Hero Delicia
Al Doha Egyptian Yellow Lentil-500 grams,55.25,700,4.6,Al Doha
iSiS Natural Chamomile Herbal Tea – 12 Envelopes,19.59,600,4.4,iSiS Natural
Knorr Vegetable Stock 12 Cubes,15.95,400,4.5,Knorr Vegetable
Abu Auf Turkish Coffee Light Roast ( Plain ) Pack- 200 gm,168.5,700,4.3,Abu Auf
Nescafe Cappuccino Unsweetened 12.5g - 12 sachet,108.0,600,4.4,Nescafe Cappuccino
"Miro milk powder full cream bag, 700 gm",240.95,700,4.5,Miro milk
Haj Arafa Garlic 35 g,7.0,500,4.3,Haj Arafa
"Nawaem Plain Biscuits, Set of 12 - 672 gm",57.0,500,3.9,Nawaem Plain
"Dolphin Tuna Chunks Easy Open, 140GM",59.5,600,4.1,Dolphin Tuna
Almarai Milk PET Full Cream Milk 4 x 1 Liter,200.0,600,4.8,Almarai Milk
"Dolphin Tuna Shredded,140 gm - Easy Open",38.95,900,4.0,Dolphin Tuna
"Lamar Apple Drink, 200 ml",7.45,600,4.4,Lamar Apple
"Abu Auf Turkish meduim Plain Coffee, 200 gm",170.0,600,4.2,Abu Auf
Imtenan Fractionated Coconut oil- 50 ml,75.0,700,4.1,Imtenan Fractionated
Knorr Kofta Mix (Pack Of 2),30.0,700,4.2,Knorr Kofta
Abu Auf 7 Spices 70 GM,30.0,600,4.4,Abu Auf
Mushroom Sauce Pasta,18.75,600,3.6,Mushroom Sauce
"Nescafe gold instant coffee, 95g",227.95,600,4.5,Nescafe gold
Juhayna lactose free milk - 1 liter,97.2,500,4.4,Juhayna lactose
"Dolphin Tuna Shredded Spicy,200 gm - Easy Open",48.0,700,3.9,Dolphin Tuna
Trident Watermelon Chewing Gum Bottle - 60 Pcs,110.0,900,4.2,Trident Watermelon
"JUHAYNA Carton skimmed Milk Multipack 1 L Ultra Edge - 6 Pack, Save 10 LE",295.0,600,4.6,JUHAYNA Carton
"KitKat Miniatures Chocolate, 110g",114.95,700,4.4,KitKat Miniatures
Nescafe Classic Instant Coffee Pouch 18g,31.15,500,4.2,Nescafe Classic
"Ponky Long Chips Potato Snack, Cheese Flavor, 75g",28.0,400,4.0,Ponky Long
"Fox Mix Cheese, 24-34 gm",5.0,400,3.8,Fox Mix
Maggi Vegetable Bouillon 12 cubes - 108g,18.0,700,4.5,Maggi Vegetable
Lametna small rings pasta pouch 1kg,32.95,600,4.4,Lametna small
Abu Auf Cocoa Powder 100 gm,125.0,600,4.4,Abu Auf
"Dream Caramel Regular Flavor, 92 Gm",18.1,500,4.4,Dream Caramel
"Ilou Premium Barbecue Sauce, 400g",47.5,700,4.4,Ilou Premium
Nescafe Gold Espresso Instant Coffee 1.8g - 25 sachet,154.99,600,4.5,Nescafe Gold
DAVIDOFF RICH AROMA COFFEE CAPSULES 5S GM,250.0,500,4.4,DAVIDOFF RICH
"Galaxy Flutes Chocolate, Pack of 12, 22.5g, 2 Fingers, Share Moments of Chocolate Delight with Galaxy Flutes, Light and Crispy Wafer",110.0,600,4.4,Galaxy Flutes
Abu Auf Maamoul Stuffed with Medjoul Dates Covered with Chocolate - 12 Pieces,80.0,400,4.5,Abu Auf
Crunchy with Chili & Lemon flavor,10.0,300,4.3,Crunchy with
Knorr Shawerma Mix (Pack Of 2),30.0,600,4.6,Knorr Shawerma
"Coffee Break High Cofee Mix 3 In 1-12 Sachat, 18 gm",61.75,500,4.0,Coffee Break
Bonjorno Coffee Mix Khamsina 2in1 6g - 12 sachet,42.0,500,4.3,Bonjorno Coffee
Nido El Assassy Milk Powder 200g,65.5,600,4.1,Nido El
Lametna penne pasta pouch 1kg,32.95,300,4.5,Lametna penne
"Alasdekaa Natural and healthy Alfalfa honey,1020gm",138.0,600,4.2,Alasdekaa Natural
"Borio Chocolate Cookies with Vanilla Cream Filling,10 Pieces, (8+2) pack of 6 (50g)",79.27,500,4.0,Borio Chocolate
Imtenan Chamomile And Lavender Tea- 18 Bags,55.0,600,4.3,Imtenan Chamomile
"Magic Moments Natural Caramel Syrup, 180g",41.25,600,4.2,Magic Moments
El maleka big rings 400gm,13.25,500,4.5,El maleka
Al Kabous Fine Black Tea 200g,62.95,500,4.6,Al Kabous
Imtenan Relaxing herbal tea 18 filters,38.5,600,4.3,Imtenan Relaxing
Cadbury 3-in-1 Hot Chocolate Powder Beverage Sachet (30g) pack of 10,109.0,500,4.5,Cadbury 3-in-1
Abu Auf Sahara Delights Chocolate Dates with Almond - 300 gm,111.0,400,4.4,Abu Auf
Doritos Nacho Cheese Tortilla Chips (65 g-105 g),15.0,300,4.4,Doritos Nacho
Maggi Hawawshi 35g,12.45,600,4.6,Maggi Hawawshi
Spritz Original non-stick cooking spray - 200 ml,165.0,600,4.6,Spritz Original
